TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63787304057433,26.8,11.9,-0.1,0.0,15.0,11.0
63787304058542,27.9,13.0,-0.1,0.0,15.0,11.7
63787304059620,26.8,11.9,-0.1,0.0,15.0,11.0
63787304060698,28.9,14.0,-0.1,0.0,15.0,11.6
63787304061786,28.9,14.0,-0.1,0.0,15.0,12.0
63787304062864,30.1,15.2,-0.1,0.0,15.0,12.4
63787304063926,28.9,14.0,-0.1,0.0,15.0,12.3
63787304064988,28.5,13.6,-0.1,0.0,15.0,11.2
63787304066080,30.0,15.1,-0.1,0.0,15.0,12.1
63787304067157,29.5,14.6,-0.1,0.0,15.0,12.0
63787304068235,29.4,14.5,-0.1,0.0,15.0,12.0
63787304069329,29.5,14.6,-0.1,0.0,15.0,11.6
63787304070407,29.6,14.7,-0.1,0.0,15.0,13.0
63787304071485,28.8,13.9,-0.1,0.0,15.0,12.0
63787304072577,29.6,14.7,-0.1,0.0,15.0,12.1
63787304073670,29.2,14.3,-0.1,0.0,15.0,11.5
63787304074748,28.9,14.0,-0.1,0.0,15.0,11.4
63787304075826,28.8,13.9,-0.1,0.0,15.0,12.3
63787304076920,29.9,15.0,-0.1,0.0,15.0,12.8
63787304077982,29.4,14.5,-0.1,0.0,15.0,11.7
63787304079089,28.9,14.0,-0.1,0.0,15.0,11.8
63787304080168,29.4,14.5,-0.1,0.0,15.0,11.7
63787304081245,28.8,13.9,-0.1,0.0,15.0,11.5
63787304082308,29.3,14.4,-0.1,0.0,15.0,11.9
63787304083401,28.2,13.3,-0.1,0.0,15.0,11.3
63787304084463,28.9,14.0,-0.1,0.0,15.0,12.0
63787304085557,27.8,12.9,-0.1,0.0,15.0,10.5
63787304086648,30.6,15.7,-0.1,0.0,15.0,13.6
63787304087710,28.0,13.1,-0.1,0.0,15.0,11.0
63787304088788,29.8,14.9,-0.1,0.0,15.0,12.4
63787304089866,29.7,14.8,-0.1,0.0,15.0,12.0
63787304090928,29.0,14.1,-0.1,0.0,15.0,11.8
63787304092022,30.5,15.6,-0.1,0.0,15.0,13.2
63787304093125,29.2,14.3,-0.1,0.0,15.0,11.5
63787304094187,29.6,14.7,-0.1,0.0,15.0,12.9
63787304095265,28.3,13.4,-0.1,0.0,15.0,11.2
