TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63787027118729,29.6,14.7,-0.1,0.0,15.0,12.0
63787027119839,30.0,15.1,-0.1,0.0,15.0,11.8
63787027120917,29.6,14.7,-0.1,0.0,15.0,10.8
63787027122003,28.4,13.5,-0.1,0.0,15.0,10.3
63787027123093,27.3,12.4,-0.1,0.0,15.0,9.3
63787027124204,28.7,13.8,-0.1,0.0,15.0,10.7
63787027125310,28.0,13.1,-0.1,0.0,15.0,10.2
63787027126425,28.0,13.1,-0.1,0.0,15.0,9.9
63787027127527,27.7,12.8,-0.1,0.0,15.0,9.8
63787027128619,28.7,13.8,-0.1,0.0,15.0,11.3
63787027129707,27.0,12.1,-0.1,0.0,15.0,9.6
63787027130799,27.9,13.0,-0.1,0.0,15.0,9.9
63787027131900,26.3,11.4,-0.1,0.0,15.0,9.8
63787027132993,27.3,12.4,-0.1,0.0,15.0,11.0
63787027134090,27.0,12.1,-0.1,0.0,15.0,10.7
63787027135192,28.0,13.1,-0.1,0.0,15.0,11.7
63787027136293,25.9,11.0,-0.1,0.0,15.0,10.0
63787027137405,27.9,13.0,-0.1,0.0,15.0,11.3
63787027138509,27.2,12.3,-0.1,0.0,15.0,11.0
63787027139599,26.3,11.4,-0.1,0.0,15.0,10.0
63787027140701,27.0,12.1,-0.1,0.0,15.0,10.3
63787027141804,26.1,11.2,-0.1,0.0,15.0,9.9
63787027142905,25.6,10.7,-0.1,0.0,15.0,8.8
63787027144005,26.2,11.3,-0.1,0.0,15.0,10.2
63787027145105,26.9,12.0,-0.1,0.0,15.0,10.9
63787027146211,26.6,11.7,-0.1,0.0,15.0,10.3
63787027147301,26.7,11.8,-0.1,0.0,15.0,10.2
63787027148401,27.0,12.1,-0.1,0.0,15.0,10.8
63787027149488,26.1,11.2,-0.1,0.0,15.0,9.5
63787027150585,25.4,10.5,-0.1,0.0,15.0,9.1
63787027151705,26.2,11.3,-0.1,0.0,15.0,9.8
63787027152807,26.8,11.9,-0.1,0.0,15.0,10.9
63787027153902,28.6,13.7,-0.1,0.0,15.0,8.9
63787027154989,25.6,10.7,-0.1,0.0,15.0,8.9
63787027156102,24.6,9.7,-0.1,0.0,15.0,7.4
63787027157196,23.7,8.7,-0.1,0.0,15.0,7.3
63787027158289,25.4,10.5,-0.1,0.0,15.0,8.9
63787027159391,24.1,9.2,-0.1,0.0,15.0,7.4
63787027160490,24.1,9.2,-0.1,0.0,15.0,7.4
63787027161607,24.4,9.5,-0.1,0.0,15.0,8.0
63787027162709,24.2,9.3,-0.1,0.0,15.0,7.8
63787027163815,27.7,12.8,-0.1,0.0,15.0,10.5
63787027164924,25.4,10.5,-0.1,0.0,15.0,8.9
63787027166024,26.0,11.1,-0.1,0.0,15.0,10.1
63787027167128,27.5,12.6,-0.1,0.0,15.0,11.4
63787027168222,26.1,11.2,-0.1,0.0,15.0,10.4
63787027169331,27.0,12.1,-0.1,0.0,15.0,10.6
63787027170431,25.7,10.8,-0.1,0.0,15.0,9.6
63787027171521,26.4,11.5,-0.1,0.0,15.0,10.3
63787027172626,28.2,13.3,-0.1,0.0,15.0,11.8
63787027173721,25.1,10.2,-0.1,0.0,15.0,9.4
63787027174830,25.0,10.1,-0.1,0.0,15.0,8.3
63787027175926,26.1,11.2,-0.1,0.0,15.0,9.6
63787027177022,24.4,9.5,-0.1,0.0,15.0,8.0
63787027178123,25.2,10.3,-0.1,0.0,15.0,9.1
63787027179226,26.8,11.9,-0.1,0.0,15.0,10.5
63787027180323,24.5,9.6,-0.1,0.0,15.0,8.4
63787027181425,25.3,10.4,-0.1,0.0,15.0,9.1
63787027182526,26.8,11.9,-0.1,0.0,15.0,9.8
